Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 88.36      5.77     5.77    89987     0.00     0.00  tableRemoveWhite
  3.37      5.99     0.22 33975058     0.00     0.00  blackenObject
  1.84      6.11     0.12    89987     0.00     0.00  sweep
  1.68      6.22     0.11    89987     0.00     0.00  traceReferences
  1.38      6.31     0.09 43423734     0.00     0.00  markObject
  1.23      6.39     0.08 33385173     0.00     0.00  markValue
  0.92      6.45     0.06    89987     0.00     0.00  markRoots
  0.77      6.50     0.05  1259818     0.00     0.00  markTable
  0.15      6.51     0.01    89987     0.00     0.00  markArray
  0.15      6.52     0.01    20368     0.00     0.00  freeObject
  0.15      6.53     0.01        1     0.01     6.50  run
  0.00      6.53     0.00   181591     0.00     0.00  reallocate
  0.00      6.53     0.00   110461     0.00     0.00  push
  0.00      6.53     0.00    89987     0.00     0.00  collectGarbage
  0.00      6.53     0.00    82478     0.00     0.00  flattenString
  0.00      6.53     0.00    60461     0.00     0.00  pop
  0.00      6.53     0.00    50356     0.00     0.00  hashString
  0.00      6.53     0.00    50315     0.00     0.00  copyString
  0.00      6.53     0.00    50312     0.00     0.00  tableFindString
  0.00      6.53     0.00    50000     0.00     0.00  appendBuffer
  0.00      6.53     0.00    50000     0.00     0.00  initBuffer
  0.00      6.53     0.00    50000     0.00     0.00  isObjType
  0.00      6.53     0.00    50000     0.00     0.00  stringifyValue
  0.00      6.53     0.00    50000     0.00     0.00  stringifyValueToBuffer
  0.00      6.53     0.00    50000     0.00     0.00  valueToString
  0.00      6.53     0.00    42322     0.00     0.00  findEntry
  0.00      6.53     0.00    42322     0.00     0.00  hashValue
  0.00      6.53     0.00    42322     0.00     0.00  isObjType
  0.00      6.53     0.00    42132     0.00     0.00  isObjType
  0.00      6.53     0.00    33351     0.00     0.00  valuesEqual
  0.00      6.53     0.00    30004     0.00     0.00  valueToNum
  0.00      6.53     0.00    20368     0.00     0.00  allocateObject
  0.00      6.53     0.00    20366     0.00     0.00  tableSet
  0.00      6.53     0.00    20308     0.00     0.00  allocateString
  0.00      6.53     0.00    20008     0.00     0.00  peek
  0.00      6.53     0.00    20001     0.00     0.00  numToValue
  0.00      6.53     0.00    19989     0.00     0.00  tableDelete
  0.00      6.53     0.00    16709     0.00     0.00  isObjType
  0.00      6.53     0.00    10005     0.00     0.00  takeString
  0.00      6.53     0.00    10000     0.00     0.00  isFalsey
  0.00      6.53     0.00    10000     0.00     0.00  valueToNum
  0.00      6.53     0.00       96     0.00     0.00  peek
  0.00      6.53     0.00       73     0.00     0.00  currentChunk
  0.00      6.53     0.00       71     0.00     0.00  newNode
  0.00      6.53     0.00       67     0.00     0.00  advance
  0.00      6.53     0.00       56     0.00     0.00  check
  0.00      6.53     0.00       51     0.00     0.00  match
  0.00      6.53     0.00       50     0.00     0.00  emitByte
  0.00      6.53     0.00       50     0.00     0.00  writeChunk
  0.00      6.53     0.00       47     0.00     0.00  isAtEnd
  0.00      6.53     0.00       43     0.00     0.00  my_strdup
  0.00      6.53     0.00       39     0.00     0.00  isAlpha
  0.00      6.53     0.00       30     0.00     0.00  initTable
  0.00      6.53     0.00       29     0.00     0.00  addArgumentBranch
  0.00      6.53     0.00       26     0.00     0.00  isDigit
  0.00      6.53     0.00       26     0.00     0.00  writeNodeArray
